,Channel,Region,Fresh,Milk,Grocery,Frozen,Detergents_Paper,Delicatessen,x_kpca_rbf,y_kpca_rbf,x_kpca_poly,y_kpca_poly,x_kpca_cos,y_kpca_cos
0,Retail,Other,12669,9656,7561,214,2674,1338,0.05287367851390593,-0.09570202833393933,0.07837370589555134,-0.17311460364284062,0.5047893015158403,0.009622306647377819
1,Retail,Other,7057,9810,9568,1762,3293,1776,0.1296461840164294,-0.16045812129786993,0.18581254641290798,-0.3074147140645972,0.8899412223120093,-0.26283294632794385
2,Retail,Other,6353,8808,7684,2405,3516,7844,0.2102053726966705,0.04844604646265623,0.3417015381326229,0.07504775170557676,0.47399405412671725,0.23568683324586595
3,HoReCa,Other,13265,1196,4221,6404,507,1788,-0.21624322605827734,0.10516496683103894,-0.2533035236583454,0.25035242631907617,-0.6186114271241641,0.3701305442802817
4,Retail,Other,22615,5410,7198,3915,1777,5185,-0.011687374284495095,0.2654316269575649,0.13661671368898667,0.37527923546027714,0.06889953794312592,0.8618293827365119
5,Retail,Other,9413,8259,5126,666,1795,1451,-0.036466297361146524,-0.1328454886814096,-0.08895330433843453,-0.21226471169213584,0.10295629527946532,-0.33045648010926537
6,Retail,Other,12126,3199,6975,480,3140,545,-0.06971559322032471,-0.11732621082881503,-0.14353041259380867,-0.16630589319905745,-0.09216796241777604,-0.2898919276536128
7,Retail,Other,7579,4956,9426,1669,3321,2566,0.043759443842918584,-0.14661913883939395,0.04089698583784364,-0.2627155987279702,0.5540934639173397,-0.3475508620366147
8,HoReCa,Other,5963,3648,6192,425,1716,750,-0.09675019886902227,-0.2050602908981756,-0.22048402954290294,-0.3051577883697474,-0.15578901423447675,-0.6896927304727347
9,Retail,Other,6006,11093,18881,1159,7425,2098,0.49366857218997817,-0.15555600801111807,0.7089688368462721,-0.2911925018216326,1.1648509491774433,0.023746724906467856
10,Retail,Other,3366,5403,12974,4400,5977,1744,0.21067780901882707,-0.1696435955528316,0.31974064092419574,-0.3065245780476246,0.8649020932926696,-0.1928630625234259
11,Retail,Other,13146,1124,4523,1420,549,497,-0.22150693569650948,-0.04301981096108618,-0.3554518255692503,0.013874803248532066,-0.6524416952788548,-0.10638673171860977
12,Retail,Other,31714,12319,11757,287,3881,2931,0.2047987318660783,0.2930467306242139,0.38544654450739385,0.335728836680736,0.5189256754099237,0.8891844129165526
13,Retail,Other,21217,6208,14982,3095,6707,602,0.2249237128229279,0.08412699715331322,0.3895006007283214,0.05937381327534842,0.7459587900333249,0.6652437528164215
14,Retail,Other,24653,9465,12091,294,5058,2168,0.19615395161835392,0.13023054987066857,0.35551116657293425,0.1442177849516534,0.6716997036238871,0.7605400813714226
15,HoReCa,Other,10253,1114,3821,397,964,412,-0.2060461349804701,-0.11610486588018872,-0.3543552000608613,-0.11021859390248877,-0.5245171920456189,-0.3477885584442488
16,Retail,Other,1020,8816,12121,134,4508,1080,0.22748280410347488,-0.2846927365653204,0.32263564498743097,-0.472218997711166,0.8519358136546632,-0.5460352667323772
17,HoReCa,Other,5876,6157,2933,839,370,4478,-0.07176423537634738,-0.08755038735669998,-0.07000249896230819,-0.09035047264311893,-0.03322029329664669,-0.11493113644620075
18,Retail,Other,18601,6327,10099,2205,2767,3181,0.039925904486973036,0.08402689619844286,0.11654191916216314,0.1178531247600943,0.3876603752214007,0.8429922154646659
19,HoReCa,Other,7780,2495,9464,669,2518,501,-0.04484567184704739,-0.18519562960453717,-0.12022755406904677,-0.28354820077109333,0.044765436443674096,-0.552769950392241
20,Retail,Other,17546,4519,4602,1066,2259,2124,-0.11095404619357678,0.033446974836404034,-0.14690021076745424,0.0995711389693874,-0.30752089028589896,0.44318830528889197
21,HoReCa,Other,5567,871,2010,3383,375,569,-0.2435317728056087,-0.1131100670948573,-0.3995107138663481,-0.09264082017742081,-0.6188073618880083,-0.3876127760478735
22,HoReCa,Other,31276,1917,4469,9408,2381,4334,-0.06805144353149045,0.5381913850229701,0.20435998773200156,0.6356359259636721,-0.1560043348914214,1.005037085312467
23,Retail,Other,26373,36423,22019,5154,4337,16523,0.4514279462992258,0.4340437448097883,0.3902661572691502,0.2569496025734213,0.7065213342862834,0.6250312465235663
24,Retail,Other,22647,9776,13792,2915,4482,5778,0.26356482638519274,0.22849832866870184,0.42781654073334724,0.22478368660722794,0.6516647402081205,0.8093177360160555
25,Retail,Other,16165,4230,7595,201,4003,57,-0.023400880290824388,-0.05949553065770298,-0.03163512873405429,-0.07255095160998645,0.11452974129428212,0.06812692646640439
26,HoReCa,Other,9898,961,2861,3151,242,833,-0.24970476690457302,-0.04868561676100586,-0.4001406036273938,0.008535414697348477,-0.7423357127810755,-0.1765751160825625
27,HoReCa,Other,14276,803,3045,485,100,518,-0.2491491000458861,-0.027513499020590113,-0.37005251264551275,0.053917919214034896,-0.6391505057184967,-0.07438347274703089
28,Retail,Other,4113,20484,25957,1158,8604,5206,0.7542725293909498,0.04020315600901907,0.7016207368605811,0.07310145750804069,1.1249453280505726,0.2130374858337625
29,HoReCa,Other,43088,2100,2609,1200,1107,823,-0.12638479479376705,0.5346064697582528,0.18268354738980783,0.681484044591124,-0.276492610224019,0.8502143237539167
30,HoReCa,Other,18815,3610,11107,1148,2134,2963,-0.007407037413694919,0.06725798705065156,0.04311921712672548,0.11745335924201536,0.1649308331734674,0.6234542505990078
31,HoReCa,Other,2612,4339,3133,2088,820,985,-0.14954951184126358,-0.19973477021747035,-0.29478662624567464,-0.2721066923785621,-0.320283227744894,-0.65436152009101
32,HoReCa,Other,21632,1318,2886,266,918,405,-0.22685196768119797,0.10124602462623566,-0.2515720524686857,0.2660610840718828,-0.5331976714561585,0.30969511350508777
33,HoReCa,Other,29729,4786,7326,6130,361,1083,-0.1282850581623544,0.3998990975053439,0.04182350289076448,0.626332710568475,-0.2657127763492748,1.016017675868507
34,HoReCa,Other,1502,1979,2262,425,483,395,-0.18919553651563364,-0.2338404951337585,-0.3395076127492348,-0.28598298885766166,-0.3553345601724847,-0.6617378578423454
35,Retail,Other,688,5491,11091,833,4239,436,0.12567680076707383,-0.29264895923809575,0.15318548998698003,-0.4720462749746824,0.6000385488030902,-0.6994720898570786
36,HoReCa,Other,29955,4362,5428,1729,862,4626,-0.07490778440677764,0.35872505699860757,0.11579078334966601,0.5158516314924024,-0.10896559076293615,0.8729278267080993
37,Retail,Other,15168,10556,12477,1920,6506,714,0.27790105664896625,-0.04514595628102558,0.4474462104001663,-0.1505560759794118,1.011085471493387,0.3545071689871444
