,Channel,Region,Fresh,Milk,Grocery,Frozen,Detergents_Paper,Delicatessen,x_kpca_rbf,y_kpca_rbf,x_kpca_poly,y_kpca_poly,x_kpca_cos,y_kpca_cos,cluster_kpca_rbf
0,Retail,Other,12669,9656,7561,214,2674,1338,0.0528736785139059,-0.0957020283339393,0.0783737058955513,-0.1731146036428406,0.5047893015158403,0.0096223066473778,0
1,Retail,Other,7057,9810,9568,1762,3293,1776,0.1296461840164294,-0.1604581212978699,0.1858125464129079,-0.3074147140645972,0.8899412223120093,-0.2628329463279438,0
2,Retail,Other,6353,8808,7684,2405,3516,7844,0.2102053726966705,0.0484460464626562,0.3417015381326229,0.0750477517055767,0.4739940541267172,0.2356868332458659,0
3,HoReCa,Other,13265,1196,4221,6404,507,1788,-0.2162432260582773,0.1051649668310389,-0.2533035236583454,0.2503524263190761,-0.6186114271241641,0.3701305442802817,1
4,Retail,Other,22615,5410,7198,3915,1777,5185,-0.011687374284495,0.2654316269575649,0.1366167136889866,0.3752792354602771,0.0688995379431259,0.8618293827365119,1
5,Retail,Other,9413,8259,5126,666,1795,1451,-0.0364662973611465,-0.1328454886814096,-0.0889533043384345,-0.2122647116921358,0.1029562952794653,-0.3304564801092653,2
6,Retail,Other,12126,3199,6975,480,3140,545,-0.0697155932203247,-0.117326210828815,-0.1435304125938086,-0.1663058931990574,-0.092167962417776,-0.2898919276536128,2
7,Retail,Other,7579,4956,9426,1669,3321,2566,0.0437594438429185,-0.1466191388393939,0.0408969858378436,-0.2627155987279702,0.5540934639173397,-0.3475508620366147,0
8,HoReCa,Other,5963,3648,6192,425,1716,750,-0.0967501988690222,-0.2050602908981756,-0.2204840295429029,-0.3051577883697474,-0.1557890142344767,-0.6896927304727347,2
9,Retail,Other,6006,11093,18881,1159,7425,2098,0.4936685721899781,-0.155556008011118,0.7089688368462721,-0.2911925018216326,1.1648509491774433,0.0237467249064678,4
10,Retail,Other,3366,5403,12974,4400,5977,1744,0.210677809018827,-0.1696435955528316,0.3197406409241957,-0.3065245780476246,0.8649020932926696,-0.1928630625234259,0
11,Retail,Other,13146,1124,4523,1420,549,497,-0.2215069356965094,-0.0430198109610861,-0.3554518255692503,0.013874803248532,-0.6524416952788548,-0.1063867317186097,2
12,Retail,Other,31714,12319,11757,287,3881,2931,0.2047987318660783,0.2930467306242139,0.3854465445073938,0.335728836680736,0.5189256754099237,0.8891844129165526,3
13,Retail,Other,21217,6208,14982,3095,6707,602,0.2249237128229279,0.0841269971533132,0.3895006007283214,0.0593738132753484,0.7459587900333249,0.6652437528164215,0
14,Retail,Other,24653,9465,12091,294,5058,2168,0.1961539516183539,0.1302305498706685,0.3555111665729342,0.1442177849516534,0.6716997036238871,0.7605400813714226,0
15,HoReCa,Other,10253,1114,3821,397,964,412,-0.2060461349804701,-0.1161048658801887,-0.3543552000608613,-0.1102185939024887,-0.5245171920456189,-0.3477885584442488,2
16,Retail,Other,1020,8816,12121,134,4508,1080,0.2274828041034748,-0.2846927365653204,0.3226356449874309,-0.472218997711166,0.8519358136546632,-0.5460352667323772,0
17,HoReCa,Other,5876,6157,2933,839,370,4478,-0.0717642353763473,-0.0875503873566999,-0.0700024989623081,-0.0903504726431189,-0.0332202932966466,-0.1149311364462007,2
18,Retail,Other,18601,6327,10099,2205,2767,3181,0.039925904486973,0.0840268961984428,0.1165419191621631,0.1178531247600943,0.3876603752214007,0.8429922154646659,1
19,HoReCa,Other,7780,2495,9464,669,2518,501,-0.0448456718470473,-0.1851956296045371,-0.1202275540690467,-0.2835482007710933,0.044765436443674,-0.552769950392241,2
20,Retail,Other,17546,4519,4602,1066,2259,2124,-0.1109540461935767,0.033446974836404,-0.1469002107674542,0.0995711389693874,-0.3075208902858989,0.4431883052888919,1
21,HoReCa,Other,5567,871,2010,3383,375,569,-0.2435317728056087,-0.1131100670948573,-0.3995107138663481,-0.0926408201774208,-0.6188073618880083,-0.3876127760478735,2
22,HoReCa,Other,31276,1917,4469,9408,2381,4334,-0.0680514435314904,0.5381913850229701,0.2043599877320015,0.6356359259636721,-0.1560043348914214,1.005037085312467,3
23,Retail,Other,26373,36423,22019,5154,4337,16523,0.4514279462992258,0.4340437448097883,0.3902661572691502,0.2569496025734213,0.7065213342862834,0.6250312465235663,3
24,Retail,Other,22647,9776,13792,2915,4482,5778,0.2635648263851927,0.2284983286687018,0.4278165407333472,0.2247836866072279,0.6516647402081205,0.8093177360160555,3
25,Retail,Other,16165,4230,7595,201,4003,57,-0.0234008802908243,-0.0594955306577029,-0.0316351287340542,-0.0725509516099864,0.1145297412942821,0.0681269264664043,2
26,HoReCa,Other,9898,961,2861,3151,242,833,-0.249704766904573,-0.0486856167610058,-0.4001406036273938,0.0085354146973484,-0.7423357127810755,-0.1765751160825625,2
27,HoReCa,Other,14276,803,3045,485,100,518,-0.2491491000458861,-0.0275134990205901,-0.3700525126455127,0.0539179192140348,-0.6391505057184967,-0.0743834727470308,2
28,Retail,Other,4113,20484,25957,1158,8604,5206,0.7542725293909498,0.040203156009019,0.7016207368605811,0.0731014575080406,1.1249453280505726,0.2130374858337625,4
29,HoReCa,Other,43088,2100,2609,1200,1107,823,-0.126384794793767,0.5346064697582528,0.1826835473898078,0.681484044591124,-0.276492610224019,0.8502143237539167,3
30,HoReCa,Other,18815,3610,11107,1148,2134,2963,-0.0074070374136949,0.0672579870506515,0.0431192171267254,0.1174533592420153,0.1649308331734674,0.6234542505990078,1
31,HoReCa,Other,2612,4339,3133,2088,820,985,-0.1495495118412635,-0.1997347702174703,-0.2947866262456746,-0.2721066923785621,-0.320283227744894,-0.65436152009101,2
32,HoReCa,Other,21632,1318,2886,266,918,405,-0.2268519676811979,0.1012460246262356,-0.2515720524686857,0.2660610840718828,-0.5331976714561585,0.3096951135050877,1
33,HoReCa,Other,29729,4786,7326,6130,361,1083,-0.1282850581623544,0.3998990975053439,0.0418235028907644,0.626332710568475,-0.2657127763492748,1.016017675868507,3
34,HoReCa,Other,1502,1979,2262,425,483,395,-0.1891955365156336,-0.2338404951337585,-0.3395076127492348,-0.2859829888576616,-0.3553345601724847,-0.6617378578423454,2
35,Retail,Other,688,5491,11091,833,4239,436,0.1256768007670738,-0.2926489592380957,0.15318548998698,-0.4720462749746824,0.6000385488030902,-0.6994720898570786,0
36,HoReCa,Other,29955,4362,5428,1729,862,4626,-0.0749077844067776,0.3587250569986075,0.115790783349666,0.5158516314924024,-0.1089655907629361,0.8729278267080993,3
37,Retail,Other,15168,10556,12477,1920,6506,714,0.2779010566489662,-0.0451459562810255,0.4474462104001663,-0.1505560759794118,1.011085471493387,0.3545071689871444,0
38,Retail,Other,4591,15729,16709,33,6956,433,0.5088895400207489,-0.1799297296670468,0.6931422223897346,-0.2710746455693035,1.066999096572845,-0.086689726051108,4
39,HoReCa,Other,56159,555,902,10002,212,2916,0.0011534773885991,0.8220882021752697,0.3812905631536106,0.5589487619332957,-0.2658160897709324,1.052055768848105,3
40,HoReCa,Other,24025,4332,4757,9510,1145,5864,-0.0322399555483813,0.4461745338424915,0.2115296314258812,0.515850156728605,-0.0706633043811799,0.8768592401126596,3
41,HoReCa,Other,19176,3065,5956,2033,2575,2802,-0.0980204743505113,0.096327570383587,-0.0923003554552329,0.1966869002686493,-0.2267615344055902,0.6812704745370014,1
42,Retail,Other,10850,7555,14961,188,6899,46,0.2988971777641696,-0.1573763642604778,0.4630010122647914,-0.2927065312654562,0.9339095988837426,-0.0414959310347143,0
43,Retail,Other,630,11095,23998,787,9529,72,0.6333539368942155,-0.1807996435040965,0.7874656499758459,-0.2060123987575111,1.0782110305381698,-0.1264071613347102,4
44,Retail,Other,9670,7027,10471,541,4618,65,0.1182193918742671,-0.1763370985665657,0.1684614369656231,-0.316067426755096,0.6993504189316263,-0.3014026813903077,0
